,company name,location,datum,detail,status rocket,rocket,status mission,dates,times,country,launch_location,long,lat
3755,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1967-07-04 05:59:00+00:00,Voskhod | Cosmos 168,StatusRetired,450.0 ,Success,1967-07-04,05:59:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3756,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1967-07-01 13:15:00+00:00,"Titan IIIC | OPS 9331-9334, LES-5 & DODGE",StatusRetired,450.0 ,Success,1967-07-01,13:15:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3757,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1967-06-26 00:00:00+00:00,Cosmos-3M (11K65M) | Tselina-OM #1,StatusRetired,450.0 ,Failure,1967-06-26,00:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3758,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1967-06-20 16:19:00+00:00,Titan IIIB | OPS 4282,StatusRetired,59.0 ,Partial Failure,1967-06-20,16:19:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3759,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-06-20 11:00:00+00:00,Voskhod | Zenit-4 n†­31,StatusRetired,450.0 ,Failure,1967-06-20,11:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3760,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-06-17 02:36:00+00:00,Molniya-M /Block VL | Cosmos 167,StatusRetired,450.0 ,Partial Failure,1967-06-17,02:36:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3761,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1967-06-16 04:43:00+00:00,Cosmos-2I (63SM) | Cosmos 166,StatusRetired,450.0 ,Success,1967-06-16,04:43:00,Russia," Kapustin Yar, Russia",45.76617539999999,48.5752669
3762,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1967-06-14 06:01:00+00:00,Atlas-SLV3 Agena-D | Mariner 5,StatusRetired,450.0 ,Success,1967-06-14,06:01:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3763,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1967-06-12 18:06:00+00:00,Cosmos-2I (63SM) | Cosmos 165,StatusRetired,450.0 ,Success,1967-06-12,18:06:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3764,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-06-12 02:39:00+00:00,Molniya-M /Block VL | Venera 4,StatusRetired,450.0 ,Success,1967-06-12,02:39:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3765,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-06-08 13:00:00+00:00,Voskhod | Cosmos 164,StatusRetired,450.0 ,Success,1967-06-08,13:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3766,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1967-06-05 05:03:00+00:00,Cosmos-2I (63SM) | Cosmos 163,StatusRetired,450.0 ,Success,1967-06-05,05:03:00,Russia," Kapustin Yar, Russia",45.76617539999999,48.5752669
3767,General Dynamics,"SLC-4E, Vandenberg AFB, California, USA",1967-06-04 18:07:00+00:00,Atlas-SLV3 Agena-D | KH-7 Gambit 4038,StatusRetired,450.0 ,Success,1967-06-04,18:07:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3768,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-06-01 10:40:00+00:00,Voskhod | Cosmos 162,StatusRetired,450.0 ,Success,1967-06-01,10:40:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3769,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-05-24 22:50:00+00:00,Molniya | Molniya-1 n†­8,StatusRetired,450.0 ,Success,1967-05-24,22:50:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3770,General Dynamics,"SLC-4E, Vandenberg AFB, California, USA",1967-05-22 18:30:00+00:00,Atlas-SLV3 Agena-D | KH-7 Gambit 4037,StatusRetired,450.0 ,Success,1967-05-22,18:30:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3771,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-05-22 14:00:00+00:00,Voskhod | Cosmos 161,StatusRetired,450.0 ,Success,1967-05-22,14:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3772,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",1967-05-17 16:05:00+00:00,Tsyklon | Cosmos 160,StatusRetired,450.0 ,Success,1967-05-17,16:05:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3773,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-05-16 21:44:00+00:00,Molniya-M /Block L | Cosmos 159,StatusRetired,450.0 ,Partial Failure,1967-05-16,21:44:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3774,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1967-05-15 11:00:00+00:00,Cosmos-3M (11K65M) | Cosmos 158,StatusRetired,450.0 ,Success,1967-05-15,11:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3775,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-05-12 10:30:00+00:00,Vostok-2 | Cosmos 157,StatusRetired,450.0 ,Success,1967-05-12,10:30:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3776,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1967-05-04 22:25:00+00:00,Atlas-SLV3 Agena-D | Lunar Orbiter 4,StatusRetired,450.0 ,Success,1967-05-04,22:25:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3777,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1967-04-28 10:01:00+00:00,"Titan IIIC | OPS-6638, OPS-6679, ORS-4, OV5-1, OV5-3",StatusRetired,450.0 ,Success,1967-04-28,10:01:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3778,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-04-27 12:50:00+00:00,Vostok-2M | Cosmos 156,StatusRetired,450.0 ,Success,1967-04-27,12:50:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3779,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1967-04-26 00:00:00+00:00,Titan IIIB | OPS 4243,StatusRetired,59.0 ,Failure,1967-04-26,00:00:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3780,ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1967-04-26 10:06:00+00:00,Scout B | San Marco 2,StatusRetired,450.0 ,Success,1967-04-26,10:06:00,Kenya,"San Marco Launch Platform, Kenya",-95.089998,29.5593451
3781,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-04-23 00:35:00+00:00,Soyuz | Soyuz 1,StatusRetired,450.0 ,Success,1967-04-23,00:35:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
